time,duration,x,y,avg_dilation
179024,179,94,640,
179223,139,86,596,
179662,179,106,677,0.048401786
179961,140,109,659,0.020901786
180420,100,91,738,0.029598214
180739,120,89,775,0.133098214
182772,140,740,525,0.197401786
183271,120,758,567,0.070901786
184208,120,747,574,
184407,120,706,548,
184606,179,691,485,
184846,139,696,482,0.039901786
185025,160,685,464,0.092401786
185224,259,692,552,0.050901786
185623,160,674,536,0.041401786
185843,140,734,550,0.008401786
186022,160,735,569,0.031901786
186520,180,757,575,
187238,180,733,556,0.137098214
187617,100,767,572,
187976,319,714,604,0.130598214
188375,119,713,640,0.101901786
188953,139,738,640,0.153098214
189312,399,696,681,
189770,120,719,686,0.086598214
189930,120,720,679,0.142598214
190508,100,724,596,
190647,139,715,594,0.100098214
190907,100,726,594,0.006098214
191226,120,756,571,
191804,179,777,567,
192003,139,776,553,
192920,199,721,533,0.038598214
193578,179,711,312,0.018901786
193778,179,716,323,
194077,100,325,335,0.170901786
194416,259,99,363,0.149901786
194775,179,76,542,
194994,100,85,556,0.092401786
195133,159,75,543,0.077401786
196030,120,715,551,0.033098214
196290,259,64,531,0.019598214
196788,399,741,542,0.163098214
197327,120,749,574,0.063401786
197785,120,740,567,0.053401786
197925,140,748,560,0.116598214
198443,179,151,228,0.156401786
199081,120,39,228,0.060598214
199300,180,49,203,
199579,120,83,239,0.003098214
199799,279,275,223,0.098598214
200098,359,268,209,0.264598214
200477,100,299,224,0.186098214
201095,279,446,220,0.088098214
201394,498,446,275,0.153598214
201912,359,478,226,0.115098214
202291,140,610,260,
202450,120,654,308,0.117098214
202630,140,636,303,0.187598214
202789,379,469,231,0.068598214
203208,219,269,218,0.088598214
203547,120,69,192,0.159098214
203766,299,270,221,0.141098214
204205,239,75,558,0.135598214
204484,100,93,568,
204644,160,102,564,0.003901786
204823,100,103,543,0.057098214
205102,160,745,559,0.059401786
206039,120,743,561,0.127401786
206438,120,729,538,0.029401786
206777,100,729,698,0.027901786
206996,359,740,672,0.030401786
207415,160,739,690,0.063401786
207594,120,740,739,0.013401786
208013,140,768,773,0.061401786
209269,179,757,850,
209588,100,760,854,0.002598214
210266,120,1101,757,
211083,159,500,613,0.077098214
212180,159,276,206,0.094401786
212379,299,258,208,0.057901786
212698,100,259,202,0.102401786
213416,379,66,530,0.117598214
214214,179,131,721,0.056598214
216566,160,744,670,0.116598214
216925,100,746,692,0.030401786
217264,120,747,690,0.105098214
218321,120,80,597,0.220098214
218540,837,54,539,0.194598214
219776,279,61,553,0.288598214
220175,339,70,556,0.293098214
220554,159,82,574,0.273098214
224143,159,87,248,0.127098214
224322,239,83,211,0.108098214
224601,419,280,197,0.118098214
229406,558,69,529,0.136098214
230004,160,75,525,0.243598214
230562,160,75,565,0.057098214
231081,399,76,596,0.131598214
231719,259,52,592,0.167598214
232117,239,69,508,0.186598214
232496,359,59,515,0.028098214
232915,160,43,514,0.144598214
233673,180,280,188,0.043098214
234171,179,67,217,
234370,199,69,216,
235008,299,746,553,0.117098214
235467,279,746,527,0.055098214
235766,180,740,528,
236025,239,729,520,0.095901786
236384,199,718,523,
236863,279,748,531,
237182,100,758,532,0.172598214
237301,140,754,520,0.121098214
237500,100,750,535,0.101098214
237620,120,757,527,0.095098214
238178,159,731,533,
238358,100,747,541,
238478,179,758,546,0.118098214
238896,100,758,540,0.086098214
239016,160,735,545,0.139098214
239315,140,742,549,0.059598214
239554,119,365,201,0.038598214
239714,618,275,172,0.083598214
240392,140,75,195,0.021401786
240571,159,86,198,0.005901786
241089,199,440,192,0.059098214
241368,259,274,185,
241767,160,301,190,
241947,678,298,183,
242764,120,309,183,
243302,140,773,567,0.101598214
243462,100,741,534,0.120098214
243601,140,744,537,0.133598214
243861,199,718,535,
244100,140,745,532,0.006901786
244499,179,746,539,0.022901786
244957,179,736,530,0.041901786
245176,160,741,542,0.079901786
245495,239,756,532,0.111401786
245914,120,748,531,
246253,239,760,548,0.034901786
246732,120,793,566,0.022598214
247110,100,745,581,
247250,139,752,598,0.007098214
247410,100,751,596,0.055598214
247848,199,722,603,0.009901786
249902,199,789,659,0.005401786
250201,119,796,664,
250360,219,795,655,0.001901786
251397,120,760,599,
251536,239,764,585,0.055401786
252394,100,104,205,
252593,379,270,203,
253311,159,76,218,0.138598214
253590,179,277,212,
253989,279,290,212,0.174598214
255325,140,83,216,0.234598214
255584,180,264,211,
255823,259,261,207,
256122,140,74,241,0.187598214
256860,120,756,599,0.272598214
257259,140,772,686,0.207598214
257717,159,784,701,0.015098214
258594,339,797,728,
259153,120,776,689,0.040098214
259531,100,769,703,0.029598214
260728,159,803,728,0.143098214
261226,100,748,751,0.099098214
261406,160,753,750,0.182098214
261705,100,748,605,0.063598214
263100,120,461,214,
264117,100,254,226,0.106598214
264536,100,769,579,0.242598214
264655,179,739,559,0.201098214
264934,120,750,626,0.066598214
265254,120,752,599,0.138098214
266071,140,747,864,0.290598214
266470,140,712,847,0.250598214
266789,120,706,839,0.031401786
267188,140,752,864,0.282598214
267586,180,766,919,0.223098214
268164,100,758,913,0.119098214
269141,160,755,850,0.030901786
269660,100,751,872,0.165598214
270218,199,775,853,
270517,199,755,846,
270736,199,751,833,0.006598214
271933,120,851,875,
