number,time,duration,x,y,avg_dilation
290,169187,219,96,225,0.10190178571428543
291,169725,339,627,181,0.0355982142857143
292,171021,179,452,380,0.003401785714285843
293,171320,179,137,192,0.08990178571428586
294,171519,140,110,220,0.028401785714285754
295,171699,160,388,496,0.04259821428571442
296,171958,200,506,424,0.026098214285713794
297,176025,159,554,504,0.09259821428571424
298,176424,160,354,506,0.06659821428571444
299,176723,139,338,520,0.12559821428571372
300,176883,100,331,539,0.04659821428571398
301,177082,100,331,534,0.14809821428571412
302,177720,160,415,620,0.22609821428571397
303,177979,160,414,613,0.0980982142857143
304,178318,139,313,607,0.17809821428571393
305,179036,120,396,595,0.15990178571428615
306,179494,120,452,581,0.13940178571428596
307,179714,139,451,583,0.04509821428571392
308,179973,179,565,512,
309,180571,140,421,586,0.14340178571428597
310,180770,100,431,584,
311,180970,120,548,516,0.15440178571428564
312,181269,179,548,516,
313,181787,159,543,508,0.05940178571428589
314,181987,179,546,508,0.08890178571428597
315,182505,140,399,582,0.08809821428571407
316,182984,159,361,632,0.12040178571428584
317,183183,100,359,625,0.0724017857142858
318,183462,100,358,630,0.013901785714286241
319,183801,180,379,736,0.0714017857142859
320,185216,120,354,771,0.129098214285714
321,188606,120,250,841,0.07690178571428596
322,189184,140,237,834,0.052401785714285776
323,189403,120,162,864,0.0010982142857143273
324,189742,100,150,816,
325,191257,100,157,774,0.019401785714285857
326,193191,100,71,830,0.1980982142857144
327,193411,259,90,781,0.16659821428571409
328,193929,140,110,798,0.124901785714286
329,194527,160,174,563,0.05640178571428578
330,194946,120,152,534,0.17190178571428572
331,196142,120,250,551,0.035098214285714135
332,196999,140,282,448,0.1575982142857142
333,197159,160,279,401,0.14509821428571446
334,197458,219,274,406,0.11809821428571388
335,199173,160,242,798,
336,199432,100,235,680,0.16190178571428593
337,200688,100,404,700,0.07590178571428607
338,200887,100,460,156,0.049098214285713926
339,201087,120,259,203,0.13440178571428607
340,201665,100,556,195,0.03540178571428587
341,201984,219,664,166,0.040401785714285765
342,202343,239,678,186,0.09309821428571396
343,202622,399,676,189,0.0049017857142859
344,203041,100,670,205,0.02459821428571418
345,203439,160,289,226,0.045901785714285825
346,203778,120,85,236,0.07840178571428602
347,204297,239,100,303,0.2604017857142855
348,204556,538,135,249,0.09390178571428587
349,205214,219,286,245,0.014401785714285964
350,205453,160,304,243,0.018901785714286135
351,205652,120,304,252,0.025401785714286085
352,206111,100,271,595,0.06559821428571411
353,206250,160,265,597,0.11159821428571393
354,206669,199,206,628,0.007901785714286014
355,207048,100,243,591,0.049401785714286106
356,207168,100,280,548,0.03990178571428604
357,209720,140,967,751,0.0724017857142858
358,209959,100,971,807,0.10090178571428599
359,210996,160,859,611,0.0015982142857140502
360,211414,160,859,605,0.032901785714285925
361,212132,100,997,677,0.030098214285713798
362,212690,120,1074,680,0.024598214285713738
363,213488,120,889,867,0.1309017857142858
364,214345,120,796,669,0.09159821428571391
365,215561,140,295,242,
366,215880,120,89,281,0.14090178571428602
367,216020,120,88,259,0.167401785714286
368,216160,239,117,240,0.17040178571428566
369,216578,100,282,221,0.16190178571428593
370,216718,159,297,225,0.15240178571428586
371,217097,120,793,621,0.02309821428571368
372,217854,139,799,545,0.026098214285713794
373,218492,120,801,556,0.04840178571428577
374,219549,120,751,672,0.0439017857142856
375,220087,120,760,594,0.14140178571428574
376,220287,120,754,634,0.09190178571428609
377,221024,160,729,645,0.06240178571428601
378,221323,159,695,629,0.014901785714286131
379,221503,140,694,633,0.0859017857142863
380,222460,239,692,637,0.10540178571428616
381,223935,160,814,433,0.0019017857142857864
382,224952,219,768,541,0.02240178571428597
383,225191,140,779,523,0.021401785714285637
384,225391,199,879,472,0.07540178571428591
385,225670,120,883,430,0.07490178571428618
386,225849,180,885,426,0.00359821428571383
387,226288,140,772,556,
388,226467,100,839,505,0.14040178571428585
389,227205,279,869,434,0.23290178571428566
390,227504,279,870,434,0.2619017857142856
391,227903,419,874,439,0.237901785714286
392,228341,140,896,450,0.1309017857142858
393,228501,180,899,455,0.13640178571428585
394,228760,100,892,470,0.040401785714285765
395,229438,100,997,417,0.02959821428571452
396,229737,100,964,547,0.02040178571428619
397,229877,140,893,445,0.0005982142857146044
398,230056,159,886,445,0.13340178571428618
399,230654,179,875,442,0.02759821428571385
400,230853,219,875,443,0.07640178571428624
401,231272,100,879,442,0.12590178571428634
402,231531,179,882,443,
403,231731,120,882,429,0.10090178571428599
404,231930,120,884,441,0.26890178571428613
405,232129,140,965,448,0.13340178571428618
406,232548,100,981,475,0.11790178571428589
407,232767,100,894,471,0.14190178571428635
408,234243,159,779,606,0.05890178571428617
409,234622,120,775,606,0.18490178571428562
410,234761,100,808,580,0.05890178571428617
411,235160,239,789,427,0.16440178571428588
412,235419,199,861,513,0.08390178571428564
413,235838,179,917,513,0.023901785714286028
414,236615,199,908,520,
415,237034,180,871,520,0.08640178571428603
416,237353,140,866,525,0.04090178571428549
417,237572,160,996,540,0.0984017857142856
418,238450,100,880,621,
419,239247,100,871,608,0.19040178571428612
420,240324,120,922,555,0.09390178571428587
421,240503,139,957,566,0.14990178571428547
422,240962,239,79,252,
423,241640,140,88,274,0.1549017857142858
424,241919,160,116,250,0.10840178571428627
425,242298,439,89,308,0.07490178571428618
426,242796,179,76,287,0.019401785714285857
427,243075,219,291,286,
428,243394,100,912,480,
429,244311,159,805,695,0.058901785714285726
430,245348,239,842,704,0.028098214285713574
431,246943,139,939,580,0.045901785714285825
432,247142,100,1018,566,0.019401785714285857
433,247601,120,799,771,0.05190178571428561
434,247960,140,747,680,0.027598214285714295
435,248618,160,760,699,0.08940178571428614
436,250013,100,860,545,0.013598214285714061
437,252027,120,798,800,
438,254001,159,860,857,0.08240178571428558
439,254220,100,901,885,0.1160982142857141
440,255157,100,815,864,0.18159821428571377
441,255277,120,822,869,0.12959821428571416
442,256054,160,874,910,0.2240982142857142
443,256254,239,863,948,
444,256593,219,825,900,0.24159821428571426
445,258367,159,894,766,0.09059821428571402
446,258606,140,901,774,0.055598214285713876
447,259165,100,913,727,0.20740178571428558
448,260919,179,734,687,0.04690178571428616
449,261118,120,732,698,0.14590178571428591
450,262554,120,680,654,0.03890178571428571
451,263013,100,710,765,
452,263391,179,751,802,0.10040178571428626
453,264189,140,753,631,
454,266661,120,1121,547,0.0885982142857138
455,267000,100,1142,519,0.1515982142857144
456,267399,199,1090,567,0.23559821428571404
457,267618,120,1105,547,0.15209821428571413
458,268037,100,1079,577,0.26459821428571395
459,269133,199,1078,588,0.1945982142857141
460,269771,140,1098,552,0.33209821428571473
461,270170,100,1073,611,0.08840178571428581
462,271805,120,1049,702,0.14309821428571468
463,272004,159,1036,705,0.13940178571428596
464,272204,120,1035,739,0.06940178571428568
465,273161,100,1018,731,0.019401785714285857
466,273460,120,1062,740,0.09209821428571408
467,275015,100,876,594,0.05190178571428605
468,275414,120,798,563,0.21709821428571408
469,275753,319,793,567,0.09190178571428564
470,276690,199,833,557,0.012901785714285907
471,277108,120,788,530,0.09159821428571391
472,277726,120,786,725,0.17490178571428583
473,277866,199,778,720,0.10940178571428572
474,278105,199,764,562,0.13840178571428607
475,278823,120,725,556,0.14840178571428542
476,279022,120,718,545,0.04009821428571403
477,279282,100,813,529,0.03490178571428615
478,279920,120,715,540,0.1479017857142857
479,280179,160,709,613,
480,280578,120,720,673,0.11040178571428605
481,280976,259,667,621,0.07290178571428596
482,281435,120,670,608,0.09490178571428576
483,281654,100,667,623,0.011901785714286017
484,282232,100,843,925,0.2790982142857139
485,282452,120,174,263,0.00590178571428579
486,282970,159,96,239,0.14840178571428586
487,283189,140,295,245,0.16490178571428604
488,283748,100,738,660,0.024901785714285474
489,284445,100,807,571,0.04640178571428599
490,284645,120,815,580,0.10040178571428626
491,284884,140,850,579,0.1549017857142858
492,285602,140,769,670,0.09690178571428598
493,285761,100,770,656,0.023901785714286028
494,286339,140,769,684,0.12359821428571394
495,286778,159,791,580,0.03790178571428582
496,287077,160,720,632,0.0414017857142861
497,287974,100,780,665,0.03340178571428609
498,289589,100,784,643,
499,290187,100,800,631,0.03459821428571397
500,290805,140,799,597,0.034098214285714246
501,291583,100,855,551,0.01240178571428574
502,293537,140,959,635,0.19840178571428568
503,295491,120,1076,721,0.13590178571428613
504,295650,139,1084,708,0.09659821428571425
505,296049,100,1085,688,0.06309821428571372
506,296268,100,1071,716,0.05259821428571376
507,296547,159,1087,701,0.07859821428571401
508,296946,100,1049,767,0.02559821428571407
509,297425,100,1150,815,0.06940178571428612
510,298182,100,1003,492,0.05509821428571415
511,298780,219,992,436,0.0900982142857143
512,299518,120,992,433,0.22109821428571408
513,299837,199,999,482,0.10359821428571436
514,300196,100,1090,443,0.125098214285714
515,302030,140,803,437,0.050401785714285996
516,302967,120,814,415,0.01709821428571434
517,303326,100,807,475,0.0049017857142859
518,303705,120,732,490,0.057901785714285836
519,304184,219,914,408,0.042401785714285545
520,304423,199,921,412,0.11540178571428594
521,304682,140,859,463,0.05490178571428572
522,305101,100,878,474,0.3009017857142857
523,305639,180,860,462,0.08340178571428591
524,306018,100,896,467,0.15340178571428575
525,306197,100,904,448,0.16690178571428582
526,306317,339,909,465,0.0934017857142857
527,306676,199,908,482,0.14740178571428597
528,307035,120,854,549,0.07159821428571433
529,307373,180,916,527,
530,308091,100,319,566,0.10440178571428582
531,308590,100,253,631,0.13290178571428557
532,309188,199,154,559,
533,309806,100,150,557,0.1269017857142858
534,310105,100,166,591,0.03890178571428571
535,310364,219,204,658,0.008598214285713723
536,310783,120,175,642,0.0674017857142859
537,311680,159,148,612,0.20440178571428547
538,312158,100,234,632,
539,312577,100,243,625,
540,312717,100,244,621,0.09440178571428604
541,313195,139,173,749,0.15640178571428587
542,313395,100,211,727,0.23640178571428594
543,316784,140,316,766,0.09090178571428575
544,317522,100,374,695,0.06240178571428601
545,318997,100,382,777,0.055901785714286056
546,319814,299,391,581,
547,320632,120,493,585,0.0315982142857143
548,320791,120,486,597,0.2690982142857141
549,321110,100,529,585,
550,321270,179,493,627,0.04090178571428549
551,321669,100,496,603,
552,321828,119,499,631,
553,322546,179,216,563,0.050401785714285996
554,323284,140,230,481,0.116901785714286
555,324061,120,129,225,0.08140178571428613
556,324978,100,329,529,0.0714017857142859
557,325417,100,409,594,
558,325975,199,403,703,
559,327172,100,490,646,
560,327730,120,475,755,0.00790178571428557
561,330062,120,343,790,
562,331398,160,298,778,
563,331817,179,300,754,0.016401785714285744
564,332156,120,294,760,0.06809821428571361
565,333193,100,242,792,0.11409821428571387
566,335346,159,231,537,0.11409821428571387
567,335545,159,224,541,0.14709821428571423
568,335844,120,249,516,0.08209821428571429
569,336084,100,246,485,0.28059821428571396
570,336682,100,163,521,0.06509821428571438
571,337080,199,197,522,0.05959821428571388
572,337359,259,207,538,0.0810982142857144
573,337639,140,208,526,0.16409821428571414
574,337958,100,213,525,0.07659821428571423
575,338097,140,187,615,0.048098214285714036
576,338376,120,138,584,0.21509821428571385
577,339473,100,126,520,0.08209821428571429
578,339592,100,94,532,
579,339732,159,78,473,0.050401785714285996
580,339912,199,86,482,0.0029017857142861203
581,340270,399,132,474,0.046098214285714256
582,340789,299,136,476,0.003401785714285843
583,341128,159,76,558,0.01890178571428569
584,341447,120,70,540,0.041598214285714086
585,341586,120,60,532,0.07859821428571401
586,341845,120,70,562,0.019598214285713844
587,342144,100,67,544,0.04009821428571403
588,342503,100,163,545,0.033098214285714356
589,342802,180,173,540,0.0019017857142857864
590,343361,140,173,482,0.0014017857142860635
591,343799,259,146,464,0.011901785714286017
592,344218,120,79,445,0.004098214285713997
593,344357,199,16,460,0.025901785714285808
594,344577,120,129,441,0.017098214285713897
595,344756,279,124,443,0.025401785714286085
596,345155,180,117,433,0.025901785714285808
597,345434,100,120,663,0.007598214285714278
598,345554,359,130,693,0.010901785714285683
599,346032,120,78,606,0.01690178571428591
600,346192,120,74,602,0.038401785714285985
601,348405,160,128,576,0.2320982142857142
602,349143,319,181,559,0.045598214285713645
603,349880,140,244,431,0.1160982142857141
604,350738,100,130,527,0.011901785714286017
605,350877,239,119,516,0.059901785714285616
606,351296,319,91,513,0.042901785714286156
607,351695,259,130,504,0.06040178571428623
608,352113,159,169,476,0.016401785714285744
609,352313,419,167,466,0.09509821428571374
610,352811,1077,133,458,0.08609821428571429
611,353908,160,124,494,0.1595982142857144
612,354107,180,140,594,0.018598214285713954
613,355224,120,136,580,0.03740178571428565
614,355363,100,134,584,0.2665982142857142
615,355802,140,88,563,0.10809821428571365
616,356061,279,122,577,0.00559821428571361
617,356599,140,126,575,0.1070982142857142
618,357098,120,88,584,0.0485982142857142
619,357337,100,78,562,0.010098214285714224
620,357975,120,111,503,0.10590178571428588
621,358234,160,100,531,0.03609821428571447
622,358673,678,72,585,0.04340178571428588
623,359929,279,161,478,0.010098214285714224
624,360248,100,261,412,0.02890178571428592
625,361384,120,408,692,0.021598214285713624
626,363697,100,394,590,
627,364116,160,470,618,0.20340178571428602
628,364435,139,465,605,0.06890178571428596
629,364614,199,478,590,
630,364893,100,481,597,
631,365272,200,515,530,0.04640178571428599
632,366030,139,553,563,0.05190178571428605
633,366189,100,551,526,0.0024017857142859533
634,366309,120,496,484,0.05240178571428622
635,366588,279,400,596,
636,367465,120,394,596,0.014098214285713784
637,367605,100,406,606,0.07540178571428591
638,368641,120,444,495,0.18490178571428562
639,368920,140,430,530,0.1964017857142859
640,369080,120,428,529,
641,369618,140,419,544,0.015401785714285854
642,370037,160,419,542,0.09440178571428604
643,370336,219,422,537,0.05690178571428639
644,370715,100,425,669,0.004098214285714441
645,371173,180,301,641,
646,371373,100,300,638,
647,371732,120,327,625,
648,372031,140,424,550,0.08990178571428586
649,372230,119,419,535,0.14090178571428602
650,372430,179,429,550,0.04590178571428538
651,373207,100,403,628,0.08790178571428564
652,373845,179,270,814,0.049401785714286106
653,374842,199,243,600,0.2264017857142857
654,375560,120,212,551,0.1064017857142856
655,375799,120,250,544,
656,376935,140,407,680,0.05640178571428578
657,377813,100,554,784,0.14340178571428597
658,378291,140,511,518,
659,378790,319,562,512,0.09990178571428565
660,379228,140,554,493,0.10440178571428582
661,379388,120,545,508,0.027401785714285865
662,379647,160,544,501,0.171401785714286
663,380066,120,540,524,0.1689017857142856
664,380544,140,580,584,0.012401785714286184
665,382618,100,451,444,0.037098214285713915
666,382737,219,480,463,0.06790178571428607
667,382996,199,388,424,
668,383674,120,467,780,
669,384571,120,568,490,0.052098214285714484
670,385010,100,220,514,0.08159821428571412
671,385209,159,159,774,0.15959821428571397
672,387582,120,119,228,
673,387861,140,76,255,0.06390178571428606
674,388180,199,136,245,
675,388499,100,158,270,0.006098214285714221
676,388998,259,310,248,0.018901785714286135
677,389337,319,105,274,
678,389795,120,140,282,0.044401785714285325
679,389935,120,144,276,0.02890178571428592
680,390712,160,755,591,0.030598214285713965
681,391270,120,882,573,0.035901785714285595
682,391490,259,883,571,0.05690178571428639
683,391809,140,920,480,0.08340178571428591
684,392028,179,985,476,0.013901785714285797
685,392267,179,921,463,0.062598214285714
686,392586,120,897,485,0.0755982142857139
687,392726,120,902,476,0.009901785714285793
688,392925,160,989,464,0.03790178571428626
689,393364,139,992,439,0.07609821428571406
690,393663,100,285,249,
691,394301,160,96,235,0.07490178571428618
692,394480,279,72,234,0.13040178571428562
693,394799,100,54,239,0.03140178571428587
694,394919,120,106,245,0.01590178571428602
695,395118,160,769,650,0.21759821428571424
696,395716,120,764,687,0.056901785714285946
697,396275,160,937,657,0.12390178571428567
698,397212,120,987,688,0.07609821428571406
699,397351,160,980,676,0.12190178571428589
700,397730,139,975,687,0.1355982142857144
701,398308,139,975,685,0.054598214285713986
702,398966,139,994,679,0.02959821428571452
703,399784,100,802,709,0.20959821428571423
704,400182,120,801,674,0.06359821428571433
705,402396,100,791,546,0.01459821428571395
706,402595,100,790,561,0.03059821428571441
707,405187,120,778,628,0.07159821428571433
708,406244,219,816,504,0.044901785714285936
709,406642,100,810,505,0.031901785714286035
710,407181,279,813,447,0.02509821428571435
711,407559,140,813,445,0.05059821428571398
712,407719,100,813,418,0.053098214285714374
713,407978,239,809,459,0.09690178571428598
714,408277,139,810,457,0.030901785714286145
715,408995,119,822,475,0.10759821428571392
716,409274,219,819,448,0.08209821428571384
717,411427,100,1036,524,0.1645982142857143
718,411567,219,1026,541,0.13909821428571423
719,412404,140,881,471,0.0019017857142857864
720,412683,199,864,457,0.07309821428571395
721,413142,100,997,697,0.014901785714285687
722,413521,219,1049,717,0.05740178571428611
723,414896,120,985,689,0.014901785714285687
724,415156,239,980,706,0.07359821428571411
725,416033,100,970,618,0.14259821428571406
726,416252,120,1024,695,0.017401785714286078
